Logging to /home/knagiredla/robonet/logs/exp_GSCA_10_flat_base_hopper_300_000_134_1729465432/policies
time_steps 114000
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
env.observation_space Box(-inf, inf, (57,), float64)
self.keys, shapes, dtypes [None] {None: (57,)} {None: dtype('float64')}
---------------------------------
| rollout/           |          |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0019086495 |
|    clip_fraction        | 0.0248       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.0425       |
|    learning_rate        | 0.0001       |
|    loss                 | 15.5         |
|    n_updates            | 440          |
|    policy_gradient_loss | -0.00367     |
|    std                  | 1            |
|    value_loss           | 32.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 123          |
|    ep_rew_mean          | 64.3         |
| time/                   |              |
|    fps                  | 907          |
|    iterations           | 46           |
|    time_elapsed         | 103          |
|    total_timesteps      | 94208        |
| train/                  |              |
|    approx_kl            | 0.0013729841 |
|    clip_fraction        | 0.0132       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.0539       |
|    learning_rate        | 0.0001       |
|    loss                 | 15.8         |
|    n_updates            | 450          |
|    policy_gradient_loss | -0.00218     |
|    std                  | 1            |
|    value_loss           | 33.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 141          |
|    ep_rew_mean          | 72.6         |
| time/                   |              |
|    fps                  | 906          |
|    iterations           | 47           |
|    time_elapsed         | 106          |
|    total_timesteps      | 96256        |
| train/                  |              |
|    approx_kl            | 0.0007191772 |
|    clip_fraction        | 0.00229      |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.11        |
|    explained_variance   | 0.0544       |
|    learning_rate        | 0.0001       |
|    loss                 | 16.3         |
|    n_updates            | 460          |
|    policy_gradient_loss | -0.00141     |
|    std                  | 1            |
|    value_loss           | 33.9         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 145           |
|    ep_rew_mean          | 74.1          |
| time/                   |               |
|    fps                  | 905           |
|    iterations           | 48            |
|    time_elapsed         | 108           |
|    total_timesteps      | 98304         |
| train/                  |               |
|    approx_kl            | 0.00070592953 |
|    clip_fraction        | 0.00249       |
|    clip_range           | 0.1           |
|    entropy_loss         | -7.11         |
|    explained_variance   | 0.0739        |
|    learning_rate        | 0.0001        |
|    loss                 | 16.3          |
|    n_updates            | 470           |
|    policy_gradient_loss | -0.00145      |
|    std                  | 1             |
|    value_loss           | 33.8          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 164          |
|    ep_rew_mean          | 82.8         |
| time/                   |              |
|    fps                  | 904          |
|    iterations           | 49           |
|    time_elapsed         | 110          |
|    total_timesteps      | 100352       |
| train/                  |              |
|    approx_kl            | 0.0004263298 |
|    clip_fraction        | 0.000293     |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.11        |
|    explained_variance   | 0.0843       |
|    learning_rate        | 0.0001       |
|    loss                 | 14.9         |
|    n_updates            | 480          |
|    policy_gradient_loss | -0.000966    |
|    std                  | 1            |
|    value_loss           | 31.1         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 183           |
|    ep_rew_mean          | 91.1          |
| time/                   |               |
|    fps                  | 904           |
|    iterations           | 50            |
|    time_elapsed         | 113           |
|    total_timesteps      | 102400        |
| train/                  |               |
|    approx_kl            | 0.00060232286 |
|    clip_fraction        | 0.00107       |
|    clip_range           | 0.1           |
|    entropy_loss         | -7.11         |
|    explained_variance   | 0.0401        |
|    learning_rate        | 0.0001        |
|    loss                 | 15.5          |
|    n_updates            | 490           |
|    policy_gradient_loss | -0.00156      |
|    std                  | 1             |
|    value_loss           | 32            |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 196          |
|    ep_rew_mean          | 97.7         |
| time/                   |              |
|    fps                  | 903          |
|    iterations           | 51           |
|    time_elapsed         | 115          |
|    total_timesteps      | 104448       |
| train/                  |              |
|    approx_kl            | 0.0010811945 |
|    clip_fraction        | 0.00479      |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.11        |
|    explained_variance   | 0.0244       |
|    learning_rate        | 0.0001       |
|    loss                 | 14           |
|    n_updates            | 500          |
|    policy_gradient_loss | -0.00218     |
|    std                  | 1            |
|    value_loss           | 29           |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 210          |
|    ep_rew_mean          | 103          |
| time/                   |              |
|    fps                  | 902          |
|    iterations           | 52           |
|    time_elapsed         | 118          |
|    total_timesteps      | 106496       |
| train/                  |              |
|    approx_kl            | 0.0015180935 |
|    clip_fraction        | 0.0145       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.11        |
|    explained_variance   | 0.0217       |
|    learning_rate        | 0.0001       |
|    loss                 | 15.4         |
|    n_updates            | 510          |
|    policy_gradient_loss | -0.00276     |
|    std                  | 1            |
|    value_loss           | 31.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 227          |
|    ep_rew_mean          | 111          |
| time/                   |              |
|    fps                  | 901          |
|    iterations           | 53           |
|    time_elapsed         | 120          |
|    total_timesteps      | 108544       |
| train/                  |              |
|    approx_kl            | 0.0006956891 |
|    clip_fraction        | 0.0021       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.11        |
|    explained_variance   | 0.123        |
|    learning_rate        | 0.0001       |
|    loss                 | 14.4         |
|    n_updates            | 520          |
|    policy_gradient_loss | -0.00103     |
|    std                  | 1            |
|    value_loss           | 29.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 239           |
|    ep_rew_mean          | 117           |
| time/                   |               |
|    fps                  | 900           |
|    iterations           | 54            |
|    time_elapsed         | 122           |
|    total_timesteps      | 110592        |
| train/                  |               |
|    approx_kl            | 0.00038379533 |
|    clip_fraction        | 0.000635      |
|    clip_range           | 0.1           |
|    entropy_loss         | -7.11         |
|    explained_variance   | 0.0422        |
|    learning_rate        | 0.0001        |
|    loss                 | 13.7          |
|    n_updates            | 530           |
|    policy_gradient_loss | -0.00102      |
|    std                  | 1             |
|    value_loss           | 28.4          |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 253         |
|    ep_rew_mean          | 124         |
| time/                   |             |
|    fps                  | 900         |
|    iterations           | 55          |
|    time_elapsed         | 125         |
|    total_timesteps      | 112640      |
| train/                  |             |
|    approx_kl            | 0.000463385 |
|    clip_fraction        | 9.77e-05    |
|    clip_range           | 0.1         |
|    entropy_loss         | -7.11       |
|    explained_variance   | 0.0781      |
|    learning_rate        | 0.0001      |
|    loss                 | 13.8        |
|    n_updates            | 540         |
|    policy_gradient_loss | -0.00134    |
|    std                  | 1           |
|    value_loss           | 28.5        |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 266           |
|    ep_rew_mean          | 130           |
| time/                   |               |
|    fps                  | 899           |
|    iterations           | 56            |
|    time_elapsed         | 127           |
|    total_timesteps      | 114688        |
| train/                  |               |
|    approx_kl            | 0.00034818612 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    entropy_loss         | -7.11         |
|    explained_variance   | 0.0368        |
|    learning_rate        | 0.0001        |
|    loss                 | 13.9          |
|    n_updates            | 550           |
|    policy_gradient_loss | -0.000392     |
|    std                  | 1             |
|    value_loss           | 28.7          |
-------------------------------------------
